偶像是工作 渣男是生活 我 就 渣,11
918 Kiss nice 靠人民币? 不如靠918kiss,11
"你智障嗎？
要誠實喔",11
吃百家班 就4好,11
梗圖 #462515,11
 我就省,11
當你覺得我在浪費你的時間時 沒錯~歡迎光臨!,11
我爛我驕傲,11
按讚的都是裸考kingggg,11
當你認為聖光在講幹話 他是真的在講,11
我 就 嘴,11
我就卡,11
區區做占，難唔到你,11
我就是爛 怎樣,11
我就是爛 怎樣？,11
 我就逊，赞,11
我就暈船,11
當我進便利商店不付錢時 我就爛!,11
我就爛！,11
是撚但啦,11
你好爛 我更爛,11
弱肉強食 意思:人類什麼都吃,11
比 爛 有 餘 比 上 不 足,11
"7.11(日)有中銀義工飛鏢活動 詳細望望, 最緊要嚟幫手",11
爛 的 恰 到 好 處,11
距離爛透指日可待,11
還 沒 爛 透,11
我 全 班 最 爛！,11
我 全 校 最 爛！,11
這 個 別 救 了 直 接 讓 他 爛 死,11
我 技 術 就 爛,11
一爛還有一案爛 花錢還是一樣爛,11
他的素質就是這麼爛 出社會遇到垃圾人,11
花錢繳補習費還是爛 去補習班幹嘛？,11
成績還是一樣爛 讀 了 書,11
"我被罷免
我就爛 3Q",11
"1+1=?
1+1=?=A+B=C
A×A=A(2次方)
B×B=B(2次方)
A(2次方)+B(2次方)
=3
1+1=3
以上數學純屬亂算~~~",11
 我就不低碳,11
我就有對象 (閃到連自己都需要戴墨鏡保護了),11
我就單身,11
"唯一認同環團的是 保護桃園藻礁
接下來不是挑釁 是客觀推理
新竹要維持台灣的經濟發展
很難叫他們不用電
你們北北基的人用電用那麼兇
600多萬人用電量是
桃園250萬人的4倍
所以…
應該要把三接改在台北港(八里)",11
我沒有看魷魚遊戲,11
我做的梗圖就是爛,11
"別怕人多斷線,現在排隊就好",11
大家一起爛,11
 一定是大拇指！！,11
"玩了5年的傳說對決
我還在C排",11
"考前帶一堆書回家只是帶安心的
事實上也只會讀那幾本 我原本以為會是這樣
結果我連一本都沒讀",11
我就屯屯鼠! by 我同學,11
當林樂鈞知道自己太笨時 我她媽就笨,11
你就爛！,11
"連假第三天了
我他X什麼都沒做 我就廢",11
林北就愛Fumo 我超可愛,11
嘿嘿你是不是以為我要寫我就爛 痾對我就爛,11
我就母湯！,11
我就雙標,11
第一次看到梗圖產生器 雷丘的表情,11
"好事成雙
       好食
     good Job",11
心血來潮做幾張圖讓大家反思,11
從大到小,11
暴力是問題最好的解決辦法,11
這是我的第一百張梗圖，我不只創造了新的里程碑，也邁出了一大步，感謝一路上支持著我的你們，謝謝大家，我愛梗倉！,11
除了給「讚」，不知道該說什麼了 小馬哥只能說：,11
買模型車買到破產 我就爛,11
回到梗圖庫第一件事 當然是先給阿傑刷讚啦,11
第一天混完音的我 ,11
按娘為....,11
祝各位教練 教師節快樂,11
好啦謝謝啦,11
最公平、公正，切合時事、迷因等等，最優質的新聞就在雷霆新聞！ 部落連結在留言區,11
混沌萬歲 畫哪些插圖的人，你就強,11
現在有動漫部落囉，快來加入動漫分享區部落 連結在留言區~,11
"我就是冰淇淋！
放著不管就會爛",11
我的第50張梗圖！ 模板完全不重複 感謝各位的支持 總瀏覽數114000,11
我就柒,11
 我就帥,11
我就單身我就爛,11
我就沒買股票 當我看到股票大跌的新聞時,11
幹好遠,11
你就讚 幫我刷讚的那位小企鵝,11
我就粗俗,11
我就色,11
妳就爛,11
說得好 ,11
吃大便 讚,11
